"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300LBS","Lochboisdale South Uist Ferry Terminal",79390,819300,"25/05/2010","386",
"9300LCR","Lochranza Arran Ferry Terminal",192645,650972,"25/05/2010","386",
"9300LCS","Lochleven Castle Ferry Landing",313663,701767,"25/05/2010","386",
"9300LCT","Tarbert Loch Fyne Ferry Terminal",187120,668905,"25/05/2010","386",
"9300LEV","Leverburgh Harris Ferry Terminal",101286,886303,"25/05/2010","386",
"9300LGH","Lochgoilhead Ferry Terminal",219969,701098,"25/05/2010","386",
"9300LGS","Largs Ferry Terminal",220115,659470,"25/05/2010","386",
"9300LHD","Lerwick Shetland Hays Dock Ferry Terminal",447249,1141881,"25/05/2010","386",
"9300LHL","Lochaline Ferry Terminal",167990,744680,"25/05/2010","386",
"9300LHM","Lerwick Shetland Holmsgarth Ferry Terminal",446859,1142311,"25/05/2010","386",
"9300LHP","Longhope Orkney Ferry Terminal",330352,990950,"25/05/2010","386",
"9300LIB","Liverpool Belfast Ferry Terminal Bootle",333266,394554,"25/05/2010","386",
"9300LID","Liverpool Isle of Man & Dublin Terminal",333690,390400,"25/05/2010","386",
"9300LMA","Lochmaddy North Uist Ferry Terminal",91980,868000,"25/05/2010","386",
"9300LMR","Lismore Ferry Terminal",185235,740920,"25/05/2010","386",
"9300LNH","Leith Newhaven Harbour Ferry Landing",325406,677197,"25/05/2010","386",
"9300LOD","Lodore Falls Derwentwater Ferry Landing",326455,519227,"25/05/2010","386",
"9300LOW","Low Brandelhow Derwentwater Ferry Landing",325272,520717,"25/05/2010","386",
"9300LRK","Lerwick Shetland Esplanade Ferry Terminal",447684,1141440,"25/05/2010","386",
"9300LUI","South Cuan Luing Ferry Terminal",175120,714155,"25/05/2010","386",
"9300LUN","Lundy Island Ferry Landing",214259,143819,"25/05/2010","386",
"9300LYD","Lydney Harbour",365095,201395,"25/05/2010","386",
"9300LYM","Lymington Pier Ferry Terminal",433320,95410,"25/05/2010","386",
"9300LYS","Lyness Orkney Ferry Terminal",331310,994620,"25/05/2010","386",
"9300MAH","Martins Haven Ferry Landing",176084,209206,"25/05/2010","386",
"9300MAR","St Mary's Isles Of Scilly Ferry Terminal",90265,10950,"25/05/2010","386",
"9300MAT","St Martin's Isles Of Scilly Ferry Landing",93040,15145,"25/05/2010","386",
"9300MAW","St Mawes Ferry Landing",184782,32995,"25/05/2010","386",
"9300MBK","Millbank Millenium Pier",530250,178685,"25/05/2010","386",
"9300MBL","Twickenham - Marble Hill Pk Ferry Landing",517165,173353,"25/05/2010","386",
"9300MCP","Gourock McInroy's Point Ferry Terminal",221880,676777,"25/05/2010","386",
"9300MEV","Mevagissey Ferry Landing",201816,44732,"25/05/2010","386",
"9300MGK","Mallaig (for Knoydart) Ferry Terminal",167684,797053,"25/05/2010","386",
"9300MHT","Masthouse Terrace Pier",537340,178460,"25/05/2010","386",
"9300MHV","Milford Haven – Dock Entrance",190285,205575,"25/05/2010","386",
"9300MIL","Queen Elizabeth II Pier",539522,180041,"25/05/2010","386",
"9300MIN","Minehead Harbour",297230,147085,"25/05/2010","386",
"9300MLG","Mallaig (CalMac) Ferry Terminal",167658,797149,"25/05/2010","386",
"9300MOU","Moulsey - Hurst Park Ferry Landing",513932,169317,"25/05/2010","386",
"9300MPT","Millport Pier Ferry Terminal",216080,654721,"25/05/2010","386",
"9300MSB","Hengistbury Head Ferry Landing",418238,91275,"25/05/2010","386",
"9300MYF","Bressay Shetland Ferry Terminal",448772,1141721,"25/05/2010","386",
"9300NCL","Newcastle International Ferry Terminal",435320,566590,"25/05/2010","386",
"9300NDY","Sanday Orkney Ferry Terminal",360305,1033972,"25/05/2010","386",
"9300NEL","Hilton Docklands Nelson Dock Pier",536677,180238,"25/05/2010","386",
"9300NGG","Nigg Ferry Terminal",279665,868770,"25/05/2010","386",
"9300NHV","Newhaven Harbour Ferry Terminal",544911,100976,"25/05/2010","386",
"9300NHY","North Hoy Orkney Ferry Terminal",324550,1003955,"25/05/2010","386",
"9300NIC","Hawes End Derwentwater Ferry Landing",325135,521296,"25/05/2010","386",
"9300NMC","Falmouth Ntl Maritime Museum Ferry Landing",181400,32450,"25/05/2010","386",
"9300NOS","Noss Mayo Ferry Landing",254023,47788,"25/05/2010","386",
"9300NPT","Newport (S Wales) Ferry Terminal",332370,185485,"25/05/2010","386",
"9300NRO","North Ronaldsay Orkney Ferry Terminal",375028,1052223,"25/05/2010","386",
"9300NSH","North Shields Ferry Terminal",435630,567840,"25/05/2010","386",
"9300NWF","Newton Ferrers Ferry Landing",253949,47998,"25/05/2010","386",
"9300OBA","Oban Ferry Terminal",185585,729800,"25/05/2010","386",
"9300ODD","Oddsta Shetland Ferry Terminal",458266,1194277,"25/05/2010","386",
"9300OKF","Oban Kerrera Ferry",183467,728286,"25/05/2010","386",
"9300ONP","Oban North Pier Ferry Terminal",185827,730139,"25/05/2010","386",
"9300OUT","Out Skerries Shetland Ferry Terminal",468864,1171630,"25/05/2010","386",
"9300PAD","Padstow Ferry Landing",192022,75565,"25/05/2010","386",
"9300PAK","Port Askaig Islay Ferry Terminal",143140,669235,"25/05/2010","386",
"9300PAP","Port Appin Ferry Terminal",190215,745365,"25/05/2010","386",
"9300PAV","Portavadie Ferry Terminal",192630,669790,"25/05/2010","386",
"9300PBA","Barbican Landing Stage",248314,53931,"25/05/2010","386",
"9300PCL","Point Clear Ferry Landing",608409,215886,"25/05/2010","386",
"9300PED","Pembroke Dock Ferry Terminal",195990,203917,"25/05/2010","386",
"9300PEN","Penzance Ferry Terminal",147822,30108,"25/05/2010","386",
