"Primary ID","Alternate ID","Date of Last Change","Date of Issue","Issue Version"
"E0055084","N0071356","19/09/2002","25/05/2010","386"
"E0054498","N0071357","19/09/2002","25/05/2010","386"
"E0054499","N0071358","19/09/2002","25/05/2010","386"
"E0054524","N0071359","19/09/2002","25/05/2010","386"
"E0054469","N0071361","19/09/2002","25/05/2010","386"
"E0054519","N0071362","19/09/2002","25/05/2010","386"
"E0041442","E0041001","19/09/2002","25/05/2010","386"
"E0040984","E0041170","19/09/2002","25/05/2010","386"
"E0040862","E0054577","19/09/2002","25/05/2010","386"
"E0041168","E0054622","19/09/2002","25/05/2010","386"
"E0054549","N0071386","19/09/2002","25/05/2010","386"
"E0054557","N0071388","19/09/2002","25/05/2010","386"
"E0041400","N0071389","19/09/2002","25/05/2010","386"
"E0040756","N0071390","19/09/2002","25/05/2010","386"
"E0054555","N0071391","19/09/2002","25/05/2010","386"
"E0054554","N0071393","19/09/2002","25/05/2010","386"
"E0040778","N0071394","19/09/2002","25/05/2010","386"
"E0040786","N0071395","19/09/2002","25/05/2010","386"
"E0040816","N0071398","19/09/2002","25/05/2010","386"
"E0041204","N0071399","19/09/2002","25/05/2010","386"
"E0041435","N0071401","19/09/2002","25/05/2010","386"
"E0040839","N0071402","19/09/2002","25/05/2010","386"
"E0054564","N0071403","19/09/2002","25/05/2010","386"
"E0041266","N0071404","19/09/2002","25/05/2010","386"
"E0054581","N0071405","19/09/2002","25/05/2010","386"
"E0041339","N0071406","19/09/2002","25/05/2010","386"
"E0054585","N0071407","19/09/2002","25/05/2010","386"
"E0054567","N0071408","19/09/2002","25/05/2010","386"
"E0040873","N0071409","19/09/2002","25/05/2010","386"
"E0041125","N0071410","19/09/2002","25/05/2010","386"
"E0041123","N0071411","19/09/2002","25/05/2010","386"
"E0040887","N0071412","19/09/2002","25/05/2010","386"
"E0054568","N0071413","19/09/2002","25/05/2010","386"
"E0040897","N0071414","19/09/2002","25/05/2010","386"
"E0054569","N0071415","19/09/2002","25/05/2010","386"
"E0040896","N0071416","19/09/2002","25/05/2010","386"
"E0040939","N0071420","19/09/2002","25/05/2010","386"
"E0040969","N0071424","19/09/2002","25/05/2010","386"
"E0040972","N0071425","19/09/2002","25/05/2010","386"
"E0040988","N0071426","19/09/2002","25/05/2010","386"
"E0054573","N0071427","19/09/2002","25/05/2010","386"
"E0041441","N0071429","19/09/2002","25/05/2010","386"
"E0040796","N0071430","19/09/2002","25/05/2010","386"
"E0041253","N0071431","19/09/2002","25/05/2010","386"
"E0054575","N0071433","19/09/2002","25/05/2010","386"
"E0041116","N0071434","19/09/2002","25/05/2010","386"
"E0041132","N0071435","19/09/2002","25/05/2010","386"
"E0054643","N0071436","19/09/2002","25/05/2010","386"
"E0054587","N0071437","19/09/2002","25/05/2010","386"
"E0041028","N0071438","19/09/2002","25/05/2010","386"
"E0054656","N0071439","19/09/2002","25/05/2010","386"
"E0041143","N0071441","19/09/2002","25/05/2010","386"
"E0041145","N0071442","19/09/2002","25/05/2010","386"
"E0054595","N0071443","19/09/2002","25/05/2010","386"
"E0054598","N0071444","19/09/2002","25/05/2010","386"
"E0041148","N0071445","19/09/2002","25/05/2010","386"
"E0054576","N0071446","19/09/2002","25/05/2010","386"
"E0055106","N0071447","19/09/2002","25/05/2010","386"
"E0041223","N0071448","19/09/2002","25/05/2010","386"
"E0054606","N0071451","19/09/2002","25/05/2010","386"
"E0041160","N0071452","19/09/2002","25/05/2010","386"
"E0054609","N0071454","19/09/2002","25/05/2010","386"
"E0041162","N0071455","19/09/2002","25/05/2010","386"
"E0041046","N0071456","19/09/2002","25/05/2010","386"
"E0054612","N0071457","19/09/2002","25/05/2010","386"
"E0054627","N0071458","19/09/2002","25/05/2010","386"
"E0041258","N0071459","19/09/2002","25/05/2010","386"
"E0041169","N0071460","19/09/2002","25/05/2010","386"
"E0040984","N0071462","19/09/2002","25/05/2010","386"
"E0041173","N0071463","19/09/2002","25/05/2010","386"
"E0054626","N0071464","19/09/2002","25/05/2010","386"
"N0071465","N0071466","19/09/2002","25/05/2010","386"
"E0054637","N0071467","19/09/2002","25/05/2010","386"
"E0041217","N0071468","19/09/2002","25/05/2010","386"
"E0041379","N0071472","19/09/2002","25/05/2010","386"
"N0071473","N0071474","19/09/2002","25/05/2010","386"
"E0041319","N0071475","19/09/2002","25/05/2010","386"
"E0041320","N0071476","19/09/2002","25/05/2010","386"
"E0040982","N0071477","19/09/2002","25/05/2010","386"
"E0041424","N0071478","19/09/2002","25/05/2010","386"
"E0041256","N0071479","19/09/2002","25/05/2010","386"
"E0041375","N0071480","19/09/2002","25/05/2010","386"
"E0054644","N0071481","19/09/2002","25/05/2010","386"
"E0054645","N0071483","19/09/2002","25/05/2010","386"
"E0040813","N0071484","19/09/2002","25/05/2010","386"
"E0041388","N0071488","19/09/2002","25/05/2010","386"
"E0041129","N0071489","19/09/2002","25/05/2010","386"
