"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G259","Brockenhurst",430280,102410,"05/02/2007 08:41:53","25/05/2010","386"
"G26","Reading",471400,173800,"05/02/2007 08:41:53","25/05/2010","386"
"G260","Bromborough",334760,382060,"05/02/2007 08:41:53","25/05/2010","386"
"G261","Brora",290610,904050,"05/02/2007 08:41:53","25/05/2010","386"
"G262","Bury St Edmunds",585170,264810,"05/02/2007 08:41:53","25/05/2010","386"
"G263","Chepstow",353390,193760,"05/02/2007 08:41:53","25/05/2010","386"
"G264","Buxton",406090,373720,"23/02/2007 07:52:35","25/05/2010","386"
"G265","Caersws",302980,291900,"05/02/2007 08:41:53","25/05/2010","386"
"G266","Camborne",164790,39855,"05/02/2007 08:41:53","25/05/2010","386"
"G267","Camelon",286870,680660,"05/02/2007 08:41:53","25/05/2010","386"
"G268","Cannock",398450,310260,"05/02/2007 08:41:53","25/05/2010","386"
"G269","Carbis Bay",153050,38450,"05/02/2007 08:41:53","25/05/2010","386"
"G27","Southend",588150,185800,"21/05/2007 14:54:52","25/05/2010","386"
"G270","Carmarthen",241370,219900,"05/02/2007 08:41:53","25/05/2010","386"
"G271","Carnforth",349780,470550,"05/02/2007 08:41:53","25/05/2010","386"
"G272","Chirk",328800,337775,"05/02/2007 08:41:53","25/05/2010","386"
"G273","Chorley",358630,417520,"23/02/2007 07:52:35","25/05/2010","386"
"G274","Christchurch",415440,93283,"23/02/2007 07:52:35","25/05/2010","386"
"G275","Clacton",617590,215270,"21/05/2007 14:54:52","25/05/2010","386"
"G276","Cleethorpes",530580,408980,"05/02/2007 08:41:53","25/05/2010","386"
"G277","Largs",220300,659310,"05/02/2007 08:41:53","25/05/2010","386"
"G278","Blair Atholl",287080,765340,"05/02/2007 08:41:53","25/05/2010","386"
"G279","Colne",388400,439920,"23/02/2007 07:52:35","25/05/2010","386"
"G28","Thorne",468600,413050,"05/02/2007 08:41:53","25/05/2010","386"
"G280","Colwyn Bay",284960,378950,"05/02/2007 08:41:53","25/05/2010","386"
"G281","Conwy",278000,377550,"05/02/2007 08:41:53","25/05/2010","386"
"G282","Cosham",465600,105250,"05/02/2007 08:41:53","25/05/2010","386"
"G283","Cowdenbeath",316540,691615,"05/02/2007 08:41:53","25/05/2010","386"
"G284","Crawley",527037,136373,"10/07/2009 15:51:58","25/05/2010","386"
"G285","Crianlarich",238490,725370,"05/02/2007 08:41:53","25/05/2010","386"
"G286","Criccieth",249830,338130,"05/02/2007 08:41:53","25/05/2010","386"
"G287","Cromer",621570,342100,"02/06/2006 16:42:36","25/05/2010","386"
"G288","Cumbernauld",276100,674340,"05/02/2007 08:41:53","25/05/2010","386"
"G289","Cwmbran",329610,195700,"05/02/2007 08:41:53","25/05/2010","386"
"G29","Tyndrum",233050,730150,"05/02/2007 08:41:53","25/05/2010","386"
"G290","Dalmally",216200,727280,"05/02/2007 08:41:53","25/05/2010","386"
"G291","Dalwhinnie",263630,784310,"05/02/2007 08:41:53","25/05/2010","386"
"G292","Darwen",369360,422340,"05/02/2007 08:41:53","25/05/2010","386"
"G293","Dawlish",296340,76620,"05/02/2007 08:41:53","25/05/2010","386"
"G294","Deal",637630,152595,"05/02/2007 08:41:53","25/05/2010","386"
"G295","Dewsbury",424390,421640,"05/02/2007 08:41:53","25/05/2010","386"
"G296","Diss",612060,279510,"05/02/2007 08:41:53","25/05/2010","386"
"G297","Dovercourt",624910,231370,"05/02/2007 08:41:53","25/05/2010","386"
"G298","Driffield",502560,457520,"05/02/2007 08:41:53","25/05/2010","386"
"G299","Droitwich Spa",389560,263290,"05/02/2007 08:41:53","25/05/2010","386"
"G3","Birmingham",406950,287000,"05/02/2007 08:41:53","25/05/2010","386"
"G30","Wakefield",433290,420540,"05/02/2007 08:41:53","25/05/2010","386"
"G300","Drumchapel",251890,670920,"05/02/2007 08:41:53","25/05/2010","386"
"G301","Dumbarton",240190,675720,"05/02/2007 08:41:53","25/05/2010","386"
"G302","Dumfries",297240,576380,"05/02/2007 08:41:53","25/05/2010","386"
"G303","Dunblane",278200,701040,"05/02/2007 08:41:53","25/05/2010","386"
"G304","East Grinstead",539390,138360,"05/02/2007 08:41:53","25/05/2010","386"
"G305","East Kilbride",263790,654380,"02/06/2006 16:42:36","25/05/2010","386"
"G306","Eastleigh",445700,119155,"23/02/2007 07:52:35","25/05/2010","386"
"G307","Ellesmere Port",340180,376310,"05/02/2007 08:41:53","25/05/2010","386"
"G308","Eltham (London)",542690,174460,"05/02/2007 08:41:53","25/05/2010","386"
"G309","Ely",554410,280150,"23/02/2007 07:52:35","25/05/2010","386"
"G31","Warrington",360350,388150,"14/08/2003 16:42:00","25/05/2010","386"
"G310","Evesham",403770,244230,"05/02/2007 08:41:53","25/05/2010","386"
"G312","Alresford (Essex)",606474,221512,"11/05/2009 15:55:49","25/05/2010","386"
"G313","Arundel",501283,106903,"09/02/2007 07:22:56","25/05/2010","386"
"G314","Barnstaple",255857,132993,"09/02/2007 07:22:56","25/05/2010","386"
"G315","Bentley (Hants)",478367,143927,"09/02/2007 07:22:56","25/05/2010","386"
"G316","Bexhill",574131,107574,"09/02/2007 07:22:56","25/05/2010","386"
"G317","Pembrey",244657,201036,"21/05/2007 14:54:52","25/05/2010","386"
"G32","West Hampstead (London)",525400,184750,"05/02/2007 08:41:53","25/05/2010","386"
"G320","Connel Ferry",191270,734341,"09/02/2007 07:22:56","25/05/2010","386"
"G321","Coulsdon",529870,159060,"09/02/2007 07:22:56","25/05/2010","386"
"G322","Dunfermline",309673,687607,"09/02/2007 07:22:56","25/05/2010","386"
