"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300GRE","Greenway House Ferry Landing",286950,54805,"22/01/2013","1058",
"9300GUR","Gourock Ferry Terminal",224394,677764,"22/01/2013","1058",
"9300GUT","Gutcher Shetland Ferry Terminal",454937,1199271,"22/01/2013","1058",
"9300GVH","Greenock - Victoria Harbour",228573,675813,"22/01/2013","1058",
"9300GVN","Girvan Harbour Ferry Terminal",218266,598149,"22/01/2013","1058",
"9300GVS","Gravesend Pier",564673,174511,"22/01/2013","1058",
"9300HAM","Hamble-le-Rice Ferry Landing",448491,106715,"22/01/2013","1058",
"9300HAN","Handa Island Ferry Landing",214790,947602,"22/01/2013","1058",
"9300HCP","Hampton Court Pier",515447,168514,"22/01/2013","1058",
"9300HEL","Helensburgh Ferry Terminal",229470,682140,"22/01/2013","1058",
"9300HEP","Helford Passage Ferry Landing",176350,26880,"22/01/2013","1058",
"9300HIE","Hayling Island Ferry Landing",468802,100083,"22/01/2013","1058",
"9300HIG","High Brandelhow Ferry Landing",325176,519770,"22/01/2013","1058",
"9300HIW","Eastney Ferry Landing",468474,100123,"22/01/2013","1058",
"9300HLF","Helford Village Ferry Landing",175920,26387,"22/01/2013","1058",
"9300HLI","Holy Island Arran Ferry Landing",205128,630974,"22/01/2013","1058",
"9300HLY","Holyhead Ferry Terminal",224935,382397,"22/01/2013","1058",
"9300HMP","Hampton Ferry Landing",514016,169435,"22/01/2013","1058",
"9300HOO","Kingswear Hoodown Ferry Terminal",288180,52275,"22/01/2013","1058",
"9300HOW","Howtown Ullswater Ferry Landing",344314,519917,"22/01/2013","1058",
"9300HTN","Houton Orkney Ferry Terminal",331920,1003927,"22/01/2013","1058",
"9300HTW","Harwich International Ferry Terminal",623715,232705,"22/01/2013","1058",
"9300HUL","Hull Ferry Terminal",513940,428870,"22/01/2013","1058",
"9300HUN","Dunoon Hunters Quay Ferry Terminal",218540,679110,"22/01/2013","1058",
"9300HVN","Shell Bay Ferry Terminal",403628,86703,"22/01/2013","1058",
"9300HWH","Harwich Harbour Ferry Landing",625915,232860,"22/01/2013","1058",
"9300HYM","Heysham Ferry Terminal",340340,460133,"22/01/2013","1058",
"9300HYT","Hythe (Hants) Ferry Terminal",442366,108084,"22/01/2013","1058",
"9300ILF","Ilfracombe Ferry Landing",252620,147850,"22/01/2013","1058",
"9300ILN","Inverness Loch Ness Ferry Landing",259807,837914,"22/01/2013","1058",
"9300INC","Inchcolm Island Ferry Landing",318990,682729,"22/01/2013","1058",
"9300INV","Invergordon Port Ferry Terminal",270805,868285,"22/01/2013","1058",
"9300INW","Instow Ferry Landing",247155,130250,"22/01/2013","1058",
"9300IOA","Iona Ferry Terminal",128598,723985,"22/01/2013","1058",
"9300ITC","West Itchenor Ferry Landing",479955,101460,"22/01/2013","1058",
"9300IVB","Inverbeg Pier",234661,697903,"22/01/2013","1058",
"9300IVE","Inverie Ferry Landing",176638,799973,"22/01/2013","1058",
"9300IVS","Inversnaid Pier",233704,708824,"22/01/2013","1058",
"9300IVU","Inveruglas Pier",232233,709852,"22/01/2013","1058",
"9300IVY","Inveraray Ferry Terminal",209794,708577,"22/01/2013","1058",
"9300JOG","John O’ Groats Ferry Terminal",337982,973417,"22/01/2013","1058",
"9300KBR","Kingsbridge Ferry Landing",273595,43875,"22/01/2013","1058",
"9300KEN","Kennacraig Ferry Terminal",181805,662540,"22/01/2013","1058",
"9300KER","Kerrera Ferry Landing",182958,728641,"22/01/2013","1058",
"9300KES","Keswick Ferry Landing",326398,522778,"22/01/2013","1058",
"9300KEW","Kew Pier",519075,177777,"22/01/2013","1058",
"9300KGH","Philleigh King Harry Ferry Landing",184305,39573,"22/01/2013","1058",
"9300KGL","King's Lynn Ferry Landing",561509,320187,"22/01/2013","1058",
"9300KGN","Kilcreggan Ferry Terminal",224145,680450,"22/01/2013","1058",
"9300KGT","Kingston Turks Pier",517770,169505,"22/01/2013","1058",
"9300KIN","Kingswear Dartmouth Lower Ferry Terminal",288156,51038,"22/01/2013","1058",
"9300KLB","Kilchoan Ferry Terminal",149402,762695,"22/01/2013","1058",
"9300KLH","Rum Ferry Terminal",140680,799170,"22/01/2013","1058",
"9300KNO","Knott End-On-Sea Ferry Landing",334635,448497,"22/01/2013","1058",
"9300KOL","Kyle of Lochalsh Ferry Terminal",176274,827109,"22/01/2013","1058",
"9300KRS","Kinross Ferry Landing",312751,701730,"22/01/2013","1058",
"9300KUT","Kingston Town End Pier",517758,168740,"22/01/2013","1058",
"9300KWH","Kirkwall Orkney Hatston Ferry Terminal",344136,1012938,"22/01/2013","1058",
"9300KWL","Kirkwall Orkney Ferry Terminal",344903,1011435,"22/01/2013","1058",
"9300KWS","Kirkwall Shapinsay Ferry Terminal",344895,1011305,"22/01/2013","1058",
"9300KYL","Kylerhea Isle of Skye Ferry Terminal",178915,821183,"22/01/2013","1058",
"9300LAG","Laga Ferry Landing",163255,760872,"22/01/2013","1058",
"9300LAK","Lakeside Windermere Ferry Landing",337898,487344,"22/01/2013","1058",
"9300LAM","Lamlash Arran Ferry Landing",202938,631217,"22/01/2013","1058",
"9300LAX","Laxo Shetland Ferry Terminal",445887,1163412,"22/01/2013","1058",
"9300LBR","London Bridge City Pier",533018,180368,"22/01/2013","1058",
"9300LBS","Lochboisdale South Uist Ferry Terminal",79390,819300,"22/01/2013","1058",
"9300LCR","Lochranza Arran Ferry Terminal",192645,650972,"22/01/2013","1058",
"9300LCS","Lochleven Castle Ferry Landing",313663,701767,"22/01/2013","1058",
"9300LCT","Tarbert (Loch Fyne) Ferry Terminal",187120,668905,"22/01/2013","1058",
"9300LEV","Leverburgh Harris Ferry Terminal",101286,886303,"22/01/2013","1058",
"9300LGH","Lochgoilhead Ferry Terminal",219969,701098,"22/01/2013","1058",
"9300LGS","Largs Ferry Terminal",220115,659470,"22/01/2013","1058",
"9300LHD","Lerwick Shetland Hays Dock Ferry Terminal",447249,1141881,"22/01/2013","1058",
"9300LHL","Lochaline Ferry Terminal",167990,744680,"22/01/2013","1058",
"9300LHM","Lerwick Shetland Holmsgarth Ferry Terminal",446859,1142311,"22/01/2013","1058",
"9300LHP","Longhope Orkney Ferry Terminal",330352,990950,"22/01/2013","1058",
"9300LIB","Liverpool Belfast Ferry Terminal Bootle",333266,394554,"22/01/2013","1058",
"9300LID","Liverpool Isle of Man & Dublin Terminal",333690,390400,"22/01/2013","1058",
"9300LKB","Lake Bank (Coniston) Ferry Landing",328984,489980,"22/01/2013","1058",
"9300LMA","Lochmaddy North Uist Ferry Terminal",91980,868000,"22/01/2013","1058",
"9300LMB","Lambeth Pier",530522,179030,"22/01/2013","1058",
"9300LMR","Lismore Ferry Terminal",185235,740920,"22/01/2013","1058",
"9300LNH","Leith Newhaven Harbour Ferry Landing",325406,677197,"22/01/2013","1058",
"9300LOD","Lodore Falls Derwentwater Ferry Landing",326455,519227,"22/01/2013","1058",
"9300LOW","Low Brandelhow Derwentwater Ferry Landing",325272,520717,"22/01/2013","1058",
"9300LPL","Leaplish Ferry Landing",366044,587895,"22/01/2013","1058",
"9300LRK","Lerwick Shetland Esplanade Ferry Terminal",447684,1141440,"22/01/2013","1058",
"9300LUI","South Cuan Luing Ferry Terminal",175120,714155,"22/01/2013","1058",
"9300LUN","Lundy Island Ferry Landing",214259,143819,"22/01/2013","1058",
"9300LUS","Luss Pier",236099,693053,"22/01/2013","1058",
"9300LYD","Lydney Harbour",365095,201395,"22/01/2013","1058",
"9300LYM","Lymington Pier Ferry Terminal",433320,95410,"22/01/2013","1058",
"9300LYS","Lyness Orkney Ferry Terminal",331310,994620,"22/01/2013","1058",
"9300MAH","Martins Haven Ferry Landing",176084,209206,"22/01/2013","1058",
"9300MAR","St Mary's Isles Of Scilly Ferry Terminal",90265,10950,"22/01/2013","1058",
"9300MAT","St Martin's Isles Of Scilly Ferry Landing",93040,15145,"22/01/2013","1058",
"9300MAW","St Mawes Ferry Landing",184782,32995,"22/01/2013","1058",
"9300MBK","Millbank Millennium Pier",530250,178685,"22/01/2013","1058",
"9300MCP","Gourock McInroy's Point Ferry Terminal",221880,676777,"22/01/2013","1058",
"9300MEV","Mevagissey Ferry Landing",201816,44732,"22/01/2013","1058",
"9300MGK","Mallaig (for Knoydart) Ferry Terminal",167684,797053,"22/01/2013","1058",
"9300MHT","Masthouse Terrace Pier",537435,178360,"22/01/2013","1058",
"9300MHV","Milford Haven – Dock Entrance",190285,205575,"22/01/2013","1058",
"9300MIL","North Greenwich Pier",539522,180041,"22/01/2013","1058",
"9300MIN","Minehead Harbour",297230,147085,"22/01/2013","1058",
"9300MKC","Monk Coniston Ferry Landing",331606,497882,"22/01/2013","1058",
"9300MLG","Mallaig (CalMac) Ferry Terminal",167658,797149,"22/01/2013","1058",
"9300MMQ","Mermaid Quay Waterbus Stop",319130,174425,"22/01/2013","1058",
"9300MOU","Moulsey - Hurst Park Ferry Landing",513932,169317,"22/01/2013","1058",
