"Exchange Point ID","National Express ID","Name","Long Name","Easting","Northing","Date of Issue","Issue Version","CoachClusterCode","Group ID"
"NX000351","30424","Cleethorpes","Cleethorpes: High Street Coach Stop",530494,408913,"22/01/2013","1058","900030424","G276"
"NX000353","41240","Clevedon","Clevedon: Kenn Rd Coach Stop",340874,171069,"22/01/2013","1058","900041240",
"NX000356","58387","CLIFTONVILLE","Cliftonville (Kent): Coach Stops",637274,170725,"22/01/2013","1058","900058387","G149"
"NX000357","58397","Cliftonville","Cliftonville: Eastern Esplanade Coach Stop",636719,171240,"22/01/2013","1058","900058397","G149"
"NX000365","93107","Cluanie","Cluanie Inn (Highland): Coach Stop",207569,811768,"22/01/2013","1058","900093107",
"NX000367","35334","COALVILLE","Coalville: Memorial Square Coach Stop",442288,314412,"22/01/2013","1058","900035334",
"NX000370","68361","Cockermouth","Cockermouth: Monument Main Street Coach Stop",312017,530708,"22/01/2013","1058","900068361",
"NX000371","53074","Colchester","Colchester Bus Station",599954,225162,"22/01/2013","1058","900053074","G7"
"NX000373","73151","Colne","Colne Bus Station",389168,440049,"22/01/2013","1058","900073151","G279"
"NX000375","11242","Colwyn Bay","Colwyn Bay Coach Stop",284780,379023,"22/01/2013","1058","900011242","G280"
"NX000376","31289","Coningsby","Coningsby (Lincs): War Memorial Coach Stop",522591,358303,"22/01/2013","1058","900031289",
"NX000379","67957","Connel","Connel: By pass at bridge Coach Stop",190874,734212,"22/01/2013","1058","900067957","G320"
"NX000382","43020","Copperhouse","Copperhouse (Cornwall): Coach Stop",156149,37699,"22/01/2013","1058","900043020",
"NX000384","39334","Corby","Corby: Anne Street Coach Stop",488181,288445,"22/01/2013","1058","900039334",
"NX000386","45317","Corfe","Corfe Castle: East Street Coach Stop",396159,81957,"22/01/2013","1058","900045317",
"NX000388","67357","Corran","Corran (Highland): Bus Stop on A82",202349,763401,"22/01/2013","1058","900067357",
"NX000389","87085","Corsham","Corsham: Newlands Road Coach Stop",386340,170632,"22/01/2013","1058","900087085",
"NX000390","64115","Cosham","Cosham: Health Centre Coach Stop",465615,105340,"22/01/2013","1058","900064115","G282"
"NX000391","69162","Cottonshopeburn","Cottonshopeburn: nr Forest Drive Coach Stop",378022,601546,"22/01/2013","1058","900069162",
"NX000392","57537","Coulsdon","Coulsdon: Brighton Rd Coach Stop",529825,159070,"22/01/2013","1058","900057537","G321"
"NX000393","34013","Coventry","Coventry: Pool Meadow Bus Station",433630,279250,"22/01/2013","1058","900034013","G61"
"NX000394","64026","Cowplain","Cowplain (Havant): London Rd Coach Stop",469137,110990,"22/01/2013","1058","900064026",
"NX000397","67268","Creetown","Creetown (Dumfries & Galloway): Coach Stop",247537,558809,"22/01/2013","1058","900067268",
"NX000398","20591","Crewe","Crewe Bus Station",370426,355738,"22/01/2013","1058","900020591","G62"
"NX000399","67967","Crianlarich","Crianlarich Coach Stops",238595,725309,"22/01/2013","1058","900067967","G285"
"NX000400","12651","Criccieth","Criccieth: Lay by Coach Stop",250009,338147,"22/01/2013","1058","900012651","G286"
"NX000404","14045","Cross Hands","Cross Hands: Post Office Bus Stop",256171,212750,"22/01/2013","1058","900014045",
"NX000405","26054","Crowden","Crowden: A628 Longdendale Coach Stop",407200,399150,"22/01/2013","1058","900026054",
"NX000406","43025","Crowlas","Crowlas (Cornwall): Coach Stop",151617,33185,"22/01/2013","1058","900043025",
"NX000407","67169","Cumbernauld","Cumbernauld: Town Centre Coach Stop",275810,674454,"22/01/2013","1058","900067169","G288"
"NX000409","66107","Dalkeith","Dalkeith: High Street Coach Stop",333130,667295,"22/01/2013","1058","900066107",
