"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G424","Penrith",351200,529900,"09/02/2007 07:22:56","22/01/2013","1058"
"G425","Pershore",395200,248000,"09/02/2007 07:22:56","22/01/2013","1058"
"G426","Petersfield",474573,123389,"09/02/2007 07:22:56","22/01/2013","1058"
"G427","Pevensey Bay ",565544,104434,"09/02/2007 07:22:56","22/01/2013","1058"
"G428","Pitlochry",293830,758100,"09/02/2007 07:22:56","22/01/2013","1058"
"G429","Pitsea",573796,187840,"09/02/2007 07:22:56","22/01/2013","1058"
"G43","Berwick-Upon-Tweed",399400,653500,"15/08/2003 13:20:00","22/01/2013","1058"
"G430","Polegate",558124,104687,"09/02/2007 07:22:56","22/01/2013","1058"
"G431","Pontypool",329474,199931,"09/02/2007 07:22:56","22/01/2013","1058"
"G432","Pontypridd ",307171,190223,"09/02/2007 07:22:56","22/01/2013","1058"
"G433","Poole",401448,91100,"09/02/2007 07:22:56","22/01/2013","1058"
"G434","Port Talbot ",276557,189878,"06/09/2011 16:14:55","22/01/2013","1058"
