POIReference,POILongName,POIEasting,POINorthing
"""PI00264""","""Salford Royal Hospital, Salford, Greater Manchester""",378723,399050
"""PI00265""","""Salisbury District Hospital""",414833,127300
"""PI00266""","""Sandwell General Hospital, West Bromwich""",400877,292328
"""PI00267""","""Scarborough General Hospital""",501887,488433
"""PI00268""","""Scunthorpe General Hospital""",488340,410925
"""PI00269""","""Sheffield Children's Hospital""",433940,387230
"""PI00270""","""Skegness and District General Hospital""",556100,363452
"""PI00271""","""Solihull Hospital""",415383,279967
"""PI00272""","""South Tyneside District Hospital, South Shields""",436545,564305
"""PI00273""","""Southampton General Hospital""",439845,115035
"""PI00274""","""Southend Hospital""",586530,187275
"""PI00275""","""Southlands Hospital, Shoreham-by-Sea""",522869,106080
"""PI00276""","""Southport and Formby District General Hospital""",335355,415620
"""PI00277""","""St George's Hospital, Tooting, London""",527093,171315
"""PI00278""","""St Helier Hospital""",526535,166125
"""PI00279""","""St James's University Hospital (Jimmy's), Leeds""",431713,434635
"""PI00280""","""St Mary's Hospital, Paddington, London""",526840,181384
"""PI00281""","""St Peter's Hospital, Chertsey, Surrey""",502603,165151
"""PI00282""","""St Richard's Hospital, Chichester""",486757,105497
"""PI00283""","""St Thomas' Hospital, London""",530620,179335
"""PI00284""","""Watford General Hospital""",510479,195738
"""PI00285""","""Southwell Minster, Church Street, Southwell""",470110,353884
